,SearchURL,Origin,Destination,Time,Fare,Transfer,Priority
27,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=さがみ野駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,さがみ野駅,東京駅,1時間6分 --- 1時間6分 --- 1時間3分,756円 --- 756円 --- 853円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[早][楽] --- [楽] --- [楽]
28,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=さがみ野駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,さがみ野駅,横浜駅,28分 --- 28分 --- 28分,283円 --- 283円 --- 283円,乗換：0回 --- 乗換：0回 --- 乗換：0回,[早][楽][安] --- [楽][安] --- [楽][安]
29,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=さがみ野駅 +&tlatlon=&togid=&to=センター南駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=センター南駅,さがみ野駅,センター南駅,54分 --- 58分 --- 54分,587円 --- 587円 --- 587円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[早][楽][安] --- [楽][安] --- [楽][安]
30,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=すずかけ台駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,すずかけ台駅,東京駅,1時間26分 --- 1時間2分 --- 1時間3分,503円 --- 503円 --- 472円,乗換：1回 --- 乗換：2回 --- 乗換：2回,[楽] --- [早] --- [安]
31,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=すずかけ台駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,すずかけ台駅,横浜駅,32分 --- 40分 --- 53分,434円 --- 434円 --- 534円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[早][楽] --- [早][楽] --- [楽]
32,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=すずかけ台駅 +&tlatlon=&togid=&to=センター南駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=センター南駅,すずかけ台駅,センター南駅,35分 --- 25分 --- 36分,441円 --- 441円 --- 441円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[楽][安] --- [楽][安] --- [楽][安]
33,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=せんげん台駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,せんげん台駅,東京駅,1時間4分 --- 57分 --- 1時間0分,566円 --- 566円 --- 566円,乗換：0回 --- 乗換：1回 --- 乗換：1回,[楽][安] --- [安] --- [安]
34,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=せんげん台駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,せんげん台駅,横浜駅,1時間36分 --- 1時間36分 --- 1時間36分,"1,148円 --- 1,039円 --- 1,096円",乗換：1回 --- 乗換：1回 --- 乗換：1回,[楽] --- [楽] --- [楽]
35,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=せんげん台駅 +&tlatlon=&togid=&to=センター南駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=センター南駅,せんげん台駅,センター南駅,2時間3分 --- 1時間54分 --- 1時間59分,"1,102円 --- 1,102円 --- 1,101円",乗換：1回 --- 乗換：2回 --- 乗換：2回,[楽] ---  --- [安]
36,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=たまプラーザ駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,たまプラーザ駅,東京駅,1時間11分 --- 46分 --- 45分,450円 --- 419円 --- 450円,乗換：0回 --- 乗換：1回 --- 乗換：1回,[楽] --- [安] --- 
37,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=たまプラーザ駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,たまプラーザ駅,横浜駅,40分 --- 39分 --- 41分,507円 --- 461円 --- 461円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[早][楽] --- [楽] --- [楽]
38,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=たまプラーザ駅 +&tlatlon=&togid=&to=センター南駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=センター南駅,たまプラーザ駅,センター南駅,17分 --- 19分 --- 13分,368円 --- 368円 --- 368円,乗換：1回 --- 乗換：1回 --- 乗換：1回,[早][楽][安] --- [早][楽][安] --- [楽][安]
39,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ちはら台駅 +&tlatlon=&togid=&to=東京駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=東京駅,ちはら台駅,東京駅,1時間10分 --- 1時間9分 --- 1時間18分,"1,082円 --- 1,082円 --- 1,031円",乗換：1回 --- 乗換：1回 --- 乗換：2回,[早][楽] --- [楽] --- 
40,https://transit.yahoo.co.jp/search/result?flatlon=&fromgid=&from=ちはら台駅 +&tlatlon=&togid=&to=横浜駅&viacode=&via=&viacode=&via=&viacode=&via=&y=2021&m=07&d=01&hh=12&m2=0&m1=0&type=1&ticket=ic&expkind=1&ws=2&s=2&kw=横浜駅,ちはら台駅,横浜駅,1時間44分 --- 1時間51分 --- 1時間55分,"1,533円 --- 1,533円 --- 1,493円",乗換：1回 --- 乗換：1回 --- 乗換：2回,[早][楽] --- [楽] --- 
